season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,mlax,Landmark Conference,landmark_conference,Goucher,Jacob Morgan,Jacob,Morgan,,1467,Jacob Morgan,"MORGAN,JACOB",MORGANJACOBGOUCHER,17,17,,,Goucher,GOUCHER,0,0,0,0,0,0,4,41,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,32,0,49,14,1009:00,89,0,1.000,,,,,,,,,,,,,,,94,136,0,104,52,52,.691,6.12,,,,,,20.97712980722487,1,99
2026-27,mlax,Landmark Conference,landmark_conference,Elizabethtown,Tristan Coleman,Tristan,Coleman,,211,Tristan Coleman,"COLEMAN,TRISTAN",COLEMANTRISTANETOWN,19,19,,,Elizabethtown,ETOWN,993-5935,0,0,0,0,0,3,21,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,39,9,1141:00,20,0,1.000,,,,,,,,,,,,,,,83,108,0,87,41,46,.769,4.58,,,,,,16.71382242829843,2,99
2026-27,mlax,Landmark Conference,landmark_conference,Moravian,Nick Coffaro,Nick,Coffaro,,443,Nick Coffaro,"COFFARO,NICK",COFFARONICKMOR,17,17,,,Moravian,MOR,0,0,0,0,0,0,3,27,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,51,2,1020:00,2,0,1.000,,,,,,,,,,,,,,,64,123,0,81,47,34,.520,4.76,,,,,,14.961815017689652,3,99
2026-27,mlax,Landmark Conference,landmark_conference,Elizabethtown,Reese Levinson,Reese,Levinson,,211,Reese Levinson,"LEVINSON,REESE",LEVINSONREESEETOWN,19,19,,,Elizabethtown,ETOWN,993-5937,0,0,0,0,1,2,37,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,14,8,1141:00,20,0,1.000,,,,,,,,,,,,,,,107,154,0,77,23,54,.695,4.05,,,,,,14.20405377640796,4,98
2026-27,mlax,Landmark Conference,landmark_conference,Goucher,Gianni Karam,Gianni,Karam,,1467,Gianni Karam,"KARAM,GIANNI",KARAMGIANNIGOUCHER,17,17,,,Goucher,GOUCHER,0,0,0,0,0,0,2,12,1,4,6,0,0,0,0,0,0,0,3,2,0,0,0,0,26,0,21,9,1009:00,89,0,1.000,,,,,,,,,,,,,,,102,179,0,76,11,65,.570,4.47,,,,,,13.629741609467832,5,98
2026-27,mlax,Landmark Conference,landmark_conference,Catholic,Burke Healy,Burke,Healy,,124,Burke Healy,"HEALY,BURKE",HEALYBURKECATHOLIC,18,17,,,Catholic,CATHOLIC,1049-3695,0,0,0,0,0,4,14,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,22,7,1012:00,54,0,1.000,,,,,,,,,,,,,,,75,109,0,65,24,41,.688,3.61,,,,,,12.085986416621695,6,98
2026-27,mlax,Landmark Conference,landmark_conference,Scranton,Quinn Carson,Quinn,Carson,,633,Quinn Carson,"CARSON,QUINN",CARSONQUINNSCRANTON,21,21,,,Scranton,SCRANTON,1056-2474,0,0,0,0,1,1,33,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,31,1,1267:00,117,0,1.000,,,,,,,,,,,,,,,78,138,0,72,23,49,.565,3.43,,,,,,11.954228773091188,7,97
2026-27,mlax,Landmark Conference,landmark_conference,Susquehanna,Pat McDermott,Pat,McDermott,,685,Pat McDermott,"MCDERMOTT,PAT",MCDERMOTTPATSUSQUEHA,18,18,,,Susquehanna,SUSQUEHA,1054-4389,0,0,0,0,1,1,9,0,2,4,0,0,0,0,0,0,0,3,1,0,0,0,0,26,0,47,5,1083:00,23,0,1.000,,,,,,,,,,,,,,,62,103,0,64,32,32,.602,3.56,,,,,,11.634840511655744,8,97
2026-27,mlax,Landmark Conference,landmark_conference,Moravian,Jack Minetti,Jack,Minetti,,443,Jack Minetti,"MINETTI,JACK",MINETTIJACKMOR,17,17,,,Moravian,MOR,0,0,0,0,0,0,3,5,1,10,5,0,0,0,0,0,0,0,0,2,0,0,0,0,37,0,22,5,1020:00,2,0,1.000,,,,,,,,,,,,,,,78,138,0,62,18,44,.565,3.65,,,,,,11.241724455279304,9,97
2026-27,mlax,Landmark Conference,landmark_conference,Scranton,Kyle Holmes,Kyle,Holmes,,633,Kyle Holmes,"HOLMES,KYLE",HOLMESKYLESCRANTON,21,21,,,Scranton,SCRANTON,1056-740,0,0,0,0,0,3,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,21,5,1267:00,117,0,1.000,,,,,,,,,,,,,,,90,156,0,64,10,54,.577,3.05,,,,,,10.978591060504058,10,96
2026-27,mlax,Landmark Conference,landmark_conference,Wilkes,Anthony DiFrancesco,Anthony,DiFrancesco,,784,Anthony DiFrancesco,"DIFRANCESCO,ANTHONY",DIFRANCESCOANTHONYWILKES,17,17,,,Wilkes,WILKES,1002-4621,0,0,0,0,0,2,21,0,2,1,0,0,0,0,0,0,1,4,7,0,0,0,0,25,0,38,11,1013:00,49,0,1.000,,,,,,,,,,,,,,,74,127,0,56,18,38,.583,3.29,,,,,,10.444283153736247,11,96
