season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,American Rivers Conference (ARC),arc,Loras,Colin Kissane,Colin,Kissane,,364,Colin Kissane,0,0LORAS,16,16,,,63,21,27,25,2,0,9,2,1,8,15,4,1,0,0,0,0,0,0,0,0,0,0,0.507,56,73,1,1.000,.429,.889,30,1,0,0,0,0,0,0,0,31,1.000,0,.000,,0,1,5,14,"10,19",0.53,10,19,"16,36",0.44,16,36,"11,22",0.50,11,22,"1,7",0.14,1,7,0,0,0,0,"5,12","5,7","25,42",26,0,0,0,0,0,0,0,2,10,0,,Loras,LORAS,1045-3858,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.126394921341857,1,99,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Luther,Noah Kindem,Noah,Kindem,,372,Noah Kindem,0,0LUTBB26,20,20,,,69,24,24,20,6,0,8,17,0,9,17,5,6,1,0,0,0,0,0,0,0,0,0,0.526,54,95,7,.857,.348,.783,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,1,0,11,16,"6,17",0.35,6,17,"13,34",0.38,13,34,"8,23",0.35,8,23,"1,6",0.17,1,6,0,0,0,0,"5,13","4,7","30,48",13,0,0,0,0,0,0,0,3,7,0,,Luther,LUTBB26,1046-7749,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.568987184804975,2,99,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Central,Max Steinlage,Max,Steinlage,,126,Max Steinlage,0,0CEN,20,20,,,82,20,28,19,6,0,7,12,0,2,8,2,5,1,0,1,0,0,0,2,0,3,0,0.433,55,97,6,.833,.341,.671,39,3,0,0,0,0,2,0,0,42,1.000,2,.000,,0,1,29,18,"9,27",0.33,9,27,"13,44",0.30,13,44,"5,24",0.21,5,24,"5,14",0.36,5,14,0,0,0,0,"6,13","5,6","26,48",8,0,0,0,0,0,0,0,9,20,0,,Central,CEN,1041-2387,False,4,1,1,0,1,1,0,0,0,0,7.0,1,1,2,8,1,0,0,1.29,23,26,1,1,0,0,0,0,0,1,.174,5,6,0,0,0,0,0,0,,,,7.989383173820404,3,99,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Luther,Zach Gwost,Zach,Gwost,,372,Zach Gwost,0,0LUTBB26,20,20,,,70,15,26,19,6,0,3,11,0,0,15,9,5,2,0,0,0,0,0,2,0,2,0,0.457,41,81,7,.714,.371,.586,121,6,2,0,0,0,0,11,0,129,.984,0,.000,,1,1,16,12,"10,28",0.36,10,28,"16,44",0.36,16,44,"13,36",0.36,13,36,"4,8",0.50,4,8,0,0,0,0,"9,14","2,5","22,47",23,0,0,0,0,0,0,0,2,18,0,,Luther,LUTBB26,1046-7957,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.396849536095568,4,98,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Loras,Vince Polizzi,Vince,Polizzi,,364,Vince Polizzi,0,0LORAS,16,16,,,63,15,22,20,7,0,3,9,0,3,7,2,1,0,0,1,0,0,0,1,0,1,0,0.447,38,76,1,1.000,.349,.603,118,7,1,0,0,0,0,10,0,126,.992,0,.000,,4,4,14,17,"6,19",0.32,6,19,"15,39",0.38,15,39,"9,24",0.38,9,24,"2,8",0.25,2,8,0,0,0,0,"5,11","7,10","28,45",51,0,0,0,0,0,0,0,3,6,0,,Loras,LORAS,1045-3613,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12628152254166,5,98,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Central,Dom DeLaPaz,Dom,DeLaPaz,,126,Dom DeLaPaz,0,0CEN,20,20,,,81,16,25,21,2,0,7,7,2,2,27,7,1,0,0,0,0,0,0,1,0,2,0,0.378,48,90,1,1.000,.309,.593,78,16,1,4,0,5,7,0,0,95,.989,12,.417,,1,1,11,17,"8,22",0.36,8,22,"14,46",0.30,14,46,"8,31",0.26,8,31,"8,12",0.67,8,12,0,0,0,0,"7,21","0,3","17,48",13,0,0,0,0,0,0,0,0,14,0,,Central,CEN,1041-2121,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.998669717841972,6,98,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Univ. of Dubuque,Alex Esser,Alex,Esser,,192,Alex Esser,0,0DUBUQUE,15,13,,,43,14,16,12,5,0,1,9,0,9,10,5,0,1,0,0,0,0,0,1,1,1,0,0.557,24,61,1,.000,.372,.558,92,7,5,3,0,26,2,0,0,104,.952,28,.929,,0,0,12,5,"2,11",0.18,2,11,"10,22",0.45,10,22,"8,14",0.57,8,14,"4,11",0.36,4,11,0,0,0,0,"4,10","4,5","17,24",25,0,0,0,3,0,0,0,5,6,0,,Univ. of Dubuque,DUBUQUE,1044-2178,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.821398630644012,7,97,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Coe,Ryan Thoreson,Ryan,Thoreson,,150,Ryan Thoreson,0,0COE,17,17,,,69,19,27,15,7,0,2,4,1,5,6,1,1,0,0,3,0,0,0,2,0,2,0,0.444,40,81,1,1.000,.391,.580,145,8,2,0,0,17,6,0,0,155,.987,23,.739,,1,2,19,19,"5,15",0.33,5,15,"15,38",0.39,15,38,"11,28",0.39,11,28,"2,4",0.50,2,4,0,0,0,0,"3,10","6,12","28,43",36,0,0,0,0,0,0,0,11,8,0,,Coe,COE,1042-6382,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2536858595959695,8,97,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Luther,Xavier Millan,Xavier,Millan,,372,Xavier Millan,0,0LUTBB26,20,20,,,59,18,20,19,6,1,2,5,0,10,8,0,16,3,2,5,0,0,0,4,2,4,0,0.443,34,81,19,.842,.339,.576,26,7,2,0,0,0,0,2,0,35,.943,0,.000,,1,3,12,25,"9,23",0.39,9,23,"7,35",0.20,7,35,"6,26",0.23,6,26,"2,3",0.67,2,3,0,0,0,0,"12,18","6,9","20,45",0,0,0,0,0,0,0,0,11,19,0,,Luther,LUTBB26,1046-7954,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9597348121185565,9,97,batting,,,
2026-27,baseball,American Rivers Conference (ARC),arc,Luther,Gavin Scurr,Gavin,Scurr,,372,Gavin Scurr,0,0LUTBB26,20,20,,,68,16,22,19,4,0,4,5,0,9,11,6,7,1,0,5,0,0,0,1,1,2,0,0.414,38,87,8,.875,.324,.559,202,15,2,8,0,20,9,1,0,219,.991,29,.690,,4,1,11,25,"12,28",0.43,12,28,"11,38",0.29,11,38,"9,28",0.32,9,28,"5,9",0.56,5,9,0,0,0,0,"5,11","6,6","21,45",22,0,0,0,0,0,0,0,8,12,0,,Luther,LUTBB26,1046-1234,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.894214152634085,10,96,batting,,,
