conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Prewitt, Ryan",,0,2,26,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,21:00,0,0,0,0,0,1,8,0.0,0.0,0.0,,0.0,24.0,19.0,5.0,19.0,0.0,35.0,12.0,10.0,2.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Friedman, Grady",,0,3,20,4,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16,32:00,0,0,0,0,0,0,16,2.0,2.0,4.0,0.5,1.0,12.0,8.0,4.0,8.0,0.0,64.0,8.0,2.0,6.0,0.09,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Kesselring, Mason",,0,4,20,4,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,7,14:00,0,0,0,0,0,0,7,141.0,106.0,247.0,0.571,0.75,13.0,11.0,2.0,5.0,0.0,47.0,15.0,10.0,5.0,0.11,0.0,0.0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Lariviere, Nicolas",,0,6,26,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22:00,0,0,0,0,0,0,11,0.0,0.0,0.0,,0.0,32.0,7.0,25.0,20.0,0.0,28.0,10.0,9.0,1.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"DellaDonna, Andrew",,0,8,10,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,06:00,0,0,0,0,0,0,3,2.0,0.0,2.0,1.0,100.0,4.0,3.0,1.0,2.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Haddon-Harris, Taurin",,0,9,26,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7,14:00,0,0,0,0,0,0,7,183.0,147.0,330.0,0.555,0.8,28.0,9.0,19.0,8.0,0.0,54.0,18.0,14.0,4.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Gayfullin, Karim",,0,10,26,12,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,10:00,0,0,0,0,0,0,5,248.0,193.0,441.0,0.562,0.78,18.0,13.0,5.0,11.0,0.0,50.0,13.0,11.0,2.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Connor, Matt",,0,11,16,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10:00,0,0,0,0,0,0,5,0.0,0.0,0.0,,0.0,13.0,11.0,2.0,1.0,0.0,39.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"McDonough, Nolan",,0,12,18,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12:00,0,0,1,0,0,0,1,1.0,2.0,3.0,0.333,2.0,12.0,9.0,3.0,5.0,0.0,26.0,7.0,4.0,3.0,0.12,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Uzzell, Chance",,0,13,11,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,06:00,0,0,0,0,0,0,3,1.0,0.0,1.0,1.0,100.0,6.0,2.0,4.0,2.0,0.0,16.0,4.0,2.0,2.0,0.13,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Dill, Gage",,0,14,26,16,0.0,,0.0,2.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,6,12:00,0,0,0,0,0,0,6,9.0,8.0,17.0,0.529,0.89,25.0,12.0,13.0,11.0,0.0,76.0,24.0,13.0,11.0,0.14,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Patriksson, Wilhelm",,0,15,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Galassi, Jesse",,0,16,26,4,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8,16:00,0,0,0,0,0,0,8,0.0,0.0,0.0,,0.0,24.0,17.0,7.0,8.0,0.0,67.0,19.0,12.0,7.0,0.1,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Daigneault, Victor",,0,17,26,9,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,26:00,0,0,1,0,0,0,8,22.0,28.0,50.0,0.44,1.27,19.0,16.0,3.0,10.0,0.0,57.0,19.0,15.0,4.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,,
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhky,Curry College,"Rowlee, Killian",,0,19,23,3,0.0,,1.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,1.0,3,06:00,0,0,0,0,0,0,3,7.0,7.0,14.0,0.5,1.0,20.0,9.0,11.0,8.0,0.0,66.0,19.0,5.0,14.0,0.21,0.0,0.0,,,,,,,,,,,,,,,,,
