season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,mlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Heethuis, Gibson",Gibson,Heethuis,,286,"Heethuis, Gibson","HEETHUIS,GIBSON",HEETHUISGIBSONHOPE,21,21,,,Hope,HOPE,1087-3372,0,0,0,0,1,3,28,1,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,47,0,49,15,1215:00,102,0,1.000,,,,,,,,,,,,,,,117,150,0,138,74,64,.780,6.57,,,,,,30.263131576743756,1,99
2026-27,mlax,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Justin Barry,Justin,Barry,,263,Justin Barry,"BARRY,JUSTIN",BARRYJUSTINGREENSBO,17,17,,,Greensboro,GREENSBO,0,0,0,0,0,0,1,27,3,6,2,0,0,0,0,0,0,0,1,3,0,0,0,0,48,0,45,10,1011:00,51,0,1.000,,,,,,,,,,,,,,,109,161,0,124,54,70,.677,7.29,,,,,,26.249605704517005,2,99
2026-27,mlax,College Conference of Illinois and Wisconsin (CCIW),cciw,Elmhurst,Eli Spence,Eli,Spence,,212,Eli Spence,"SPENCE,ELI",SPENCEELIELMHURST,19,19,,,Elmhurst,ELMHURST,682-3704,0,0,0,0,1,4,49,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,43,17,1146:00,13,0,1.000,,,,,,,,,,,,,,,124,222,0,122,44,78,.559,6.42,,,,,,25.953634033406274,3,99
2026-27,mlax,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Casey Ryan,Casey,Ryan,,69,Casey Ryan,"RYAN,CASEY",RYANCASEYBOWDOIN,21,21,,,Bowdoin,BOWDOIN,0,0,0,0,0,0,3,34,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,40,0,35,6,1260:00,0,0,1.000,,,,,,,,,,,,,,,120,208,0,125,52,73,.577,5.95,,,,,,25.640590298651205,4,98
2026-27,mlax,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Jack Regnery,Jack,Regnery,,717,Jack Regnery,"REGNERY,JACK",REGNERYJACKTUFTS,23,23,,,Tufts,TUFTS,1129-4400,0,0,0,0,0,4,38,0,6,5,0,0,0,0,0,0,0,2,1,0,0,0,0,42,0,42,9,1380:00,0,0,1.000,,,,,,,,,,,,,,,134,225,0,122,48,74,.596,5.30,,,,,,25.29455183390481,5,98
2026-27,mlax,USA South Athletic Conference,usa_south_athletic_confe,Pfeiffer,Ethan Miles,Ethan,Miles,,542,Ethan Miles,"MILES,ETHAN",MILESETHANPFEIFFER,19,19,,,Pfeiffer,PFEIFFER,354-1944,0,0,0,0,0,5,6,1,6,0,0,0,0,0,0,0,0,5,7,0,0,1,0,47,0,36,11,1135:00,112,1,1.000,,,,,,,,,,,,,,,102,164,0,112,57,55,.622,5.89,,,,,,24.144693690327486,6,98
2026-27,mlax,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,James Haley,James,Haley,,752,James Haley,"HALEY,JAMES",HALEYJAMESWLU,22,22,,,Washington and Lee,WLU,1299-8951,0,0,0,0,0,3,32,0,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,35,0,33,7,1323:00,53,0,1.000,,,,,,,,,,,,,,,103,149,0,115,53,62,.691,5.23,,,,,,23.692513228440312,7,97
2026-27,mlax,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Chris Berry,Chris,Berry,,69,Chris Berry,"BERRY,CHRIS",BERRYCHRISBOWDOIN,21,21,,,Bowdoin,BOWDOIN,0,0,0,0,0,0,4,20,0,5,4,0,0,0,0,0,0,0,3,2,0,0,0,0,48,0,43,10,1260:00,0,0,1.000,,,,,,,,,,,,,,,126,201,0,105,46,59,.627,5.00,,,,,,22.275888849575228,8,97
2026-27,mlax,Landmark Conference,landmark_conference,Goucher,Jacob Morgan,Jacob,Morgan,,1467,Jacob Morgan,"MORGAN,JACOB",MORGANJACOBGOUCHER,17,17,,,Goucher,GOUCHER,0,0,0,0,0,0,4,41,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,32,0,49,14,1009:00,89,0,1.000,,,,,,,,,,,,,,,94,136,0,104,52,52,.691,6.12,,,,,,22.187302571809916,9,97
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,Gavin Nagle,Gavin,Nagle,,573,Gavin Nagle,"NAGLE,GAVIN",NAGLEGAVINRHODES,19,19,,,Rhodes,RHODES,1390-4740,0,0,0,0,0,1,29,5,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,42,0,48,23,1073:00,275,0,1.000,,,,,,,,,,,,,,,88,166,0,96,47,49,.530,5.05,,,,,,21.774402270244604,10,96
