season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Wabash,"Campos, Alfredo",Alfredo,Campos,,747,"Campos, Alfredo","CAMPOS,ALFREDO",Wabash,WAB,1224-3537,4,4,7,0,7,0,0,9,12,11,5,3,0,0,3.00,2.25,2.75,.750,1.250,6,0,0,0,1,1,0,.000,2,0,1,0,.50,.25,.00,.00,0,,241:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,39.22990973968374,1,99
2026-27,msoc,USA South Athletic Conference,usa_south_athletic_confe,Pfeiffer,"Hooker, Wesley",Wesley,Hooker,,542,"Hooker, Wesley","HOOKER,WESLEY",Pfeiffer,PFE,354-2019,2,2,12,0,12,0,0,9,11,12,0,6,1,1,5.50,4.50,6.00,3.000,.000,3,0,1,0,2,2,1,.500,0,0,0,0,.00,.00,.00,.00,0,,92:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,34.33620636711185,2,99
2026-27,msoc,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Caltech,Piotr Zawislan,Piotr,Zawislan,,89,Piotr Zawislan,"ZAWISLAN,PIOTR",Caltech,CIT,1324-1781,3,3,9,0,9,0,0,5,7,11,1,5,0,0,2.33,1.67,3.67,1.667,.333,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,193:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,31.163986646706594,3,99
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Berea,"Takpor, Tobore",Tobore,Takpor,,30171,"Takpor, Tobore","TAKPOR,TOBORE",Berea,BER,921-1348,3,3,11,0,11,0,0,6,9,9,3,3,0,0,3.00,2.00,3.00,1.000,1.000,3,0,0,0,1,1,1,.333,3,0,1,0,1.00,.33,.00,.00,0,,189:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,29.54120217395023,4,98
2026-27,msoc,Northern Athletics Collegiate Conference (NACC),nacc,Lakeland,"Wangu, Dunia",Dunia,Wangu,,1164,"Wangu, Dunia","WANGU,DUNIA",Lakeland,LAK,1253-4904,4,4,11,0,11,0,0,8,12,10,0,5,0,0,3.00,2.00,2.50,1.250,.000,3,0,0,0,2,1,3,.750,1,0,0,0,.25,.00,.00,.00,0,,207:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,28.680460347866916,5,98
2026-27,msoc,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,"Mnangwa, Issa",Issa,Mnangwa,,42,"Mnangwa, Issa","MNANGWA,ISSA",Aurora,AUR,1248-7348,3,3,9,0,9,0,0,6,11,10,0,5,1,1,3.67,2.00,3.33,1.667,.000,1,1,1,0,1,2,2,.667,3,0,1,0,1.00,.33,.00,.00,0,,156:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,27.631203688299326,6,98
2026-27,msoc,Northern Athletics Collegiate Conference (NACC),nacc,Lakeland,"Frederic, Woodlens",Woodlens,Frederic,,1164,"Frederic, Woodlens","FREDERIC,WOODLENS",Lakeland,LAK,1253-5288,6,0,3,0,3,0,0,8,18,9,1,4,0,0,3.00,1.33,1.50,.667,.167,4,0,0,0,0,0,0,.000,7,0,1,0,1.17,.17,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,27.606753946596836,7,97
2026-27,msoc,Midwest Conference (MWC),mwc,Lawrence,"Ogren, Grayson",Grayson,Ogren,,348,"Ogren, Grayson","OGREN,GRAYSON",Lawrence,LAW,1099-1666,2,2,77,0,77,0,0,5,7,10,0,5,1,1,3.50,2.50,5.00,2.500,.000,0,1,1,0,1,2,1,.500,3,0,0,0,1.50,.00,.00,.00,0,,114:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,27.10657535851553,8,97
2026-27,msoc,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Kasai, Ryo",Ryo,Kasai,,549,"Kasai, Ryo","KASAI,RYO",Pomona-Pitzer,PPC,1159-2951,3,2,19,0,19,0,0,6,10,9,1,4,0,0,3.33,2.00,3.00,1.333,.333,2,0,0,0,0,1,1,.333,0,0,0,0,.00,.00,.00,.00,0,,172:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,26.557497287029246,9,97
2026-27,msoc,Skyline Conference,skyline_conference,Yeshiva,"Lavinsky, Hadar",Hadar,Lavinsky,,814,"Lavinsky, Hadar","LAVINSKY,HADAR",Yeshiva,YU,0,2,2,10,0,10,0,0,6,10,8,2,3,0,0,5.00,3.00,4.00,1.500,1.000,3,0,1,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,123:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,25.48379088575917,10,96
