conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Toole, Alayna",,0,2,24,3,0,,0,0,0,3,2,5,2,3,1,1,02:00,0,0,0,0,0,0,1,213,151,364,.585,0.71,15,7,8,5,0,60,15,5,10,0.17,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Waszkielewicz, Sarah",,0,3,24,4,0,,0,0,0,0,0,0,1,0,0,3,06:00,0,0,0,0,0,0,3,77,80,157,.490,1.04,9,3,6,6,0,52,7,5,2,0.04,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"McBride, Mo",,0,5,25,6,0,,0,1,0,4,1,0,1,1,0,4,08:00,0,0,0,0,0,0,4,2,4,6,.333,2.00,29,12,17,8,0,70,16,7,9,0.13,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Smith, Iliana",,0,6,25,11,0,,0,0,1,0,0,0,1,1,0,11,22:00,0,0,0,0,0,0,11,156,118,274,.569,0.76,18,9,9,7,0,69,13,8,5,0.07,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Meluzio, Amber",,0,9,25,7,0,,0,0,0,2,1,1,2,2,0,5,10:00,0,0,0,0,0,0,5,3,2,5,.600,0.67,18,5,13,3,0,75,13,5,8,0.11,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Thompson, Piper",,0,10,25,10,0,,0,0,0,1,0,0,0,1,0,1,02:00,0,0,0,0,0,0,1,17,13,30,.567,0.76,7,6,1,4,0,38,5,2,3,0.08,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Andrews, Piper",,0,13,21,1,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,1,1,2,.500,1.00,8,4,4,1,0,30,9,6,3,0.10,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Dougherty, Gabby",,0,14,25,17,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,20,13,7,42,0,57,6,6,0,0.00,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"McCarrick, Mandy",,0,16,25,7,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,20,7,13,15,0,17,2,2,0,0.00,0,0,,,,,,,,,,,,,,,,,
e8,Empire 8 (E8),2025-26,whockey,Elmira,"Morel, Emma",,0,17,15,1,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,12,5,7,8,0,11,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,
